Query,Average,SD,SE
S1,16,13,3
S2,4,7,2
S3,22,9,2
S4,8,7,2
S5,8,8,2
S6,196,21,5
S7,275,21,5
S8,17,3,1
S9,17,7,2
S10,2698,73,18
S11,7,8,2
S12,701,19,5
S13,34,8,2
S14,2169,152,38
C1,1849,177,44
C2,1057,21,5
C3,654,236,59
C4,837,289,72
C6,2057,517,129
C7,116,15,4
C8,996,51,13
C9,18040,232,58
C10,136,13,3
