Query,#Results,Sample #0,Sample #1,Sample #2,Sample #3,Sample #4,Sample #5,Sample #6,Sample #7,Sample #8,Sample #9,Sample #10,Sample #11,Sample #12,Sample #13,Sample #14,Sample #15
S1,90,62,16,16,16,16,16,15,16,11,0,0,16,16,16,16,0
S2,1,16,1,15,16,15,0,1,0,0,0,0,1,0,0,0,0
S3,2,31,46,16,31,16,16,32,16,15,16,31,16,16,15,16,16
S4,1,15,15,8,16,16,0,16,1,0,1,0,16,0,0,16,0
S5,2,16,15,16,0,0,1,16,0,1,0,15,0,17,15,0,15
S6,11,266,203,188,219,172,171,203,188,187,188,187,203,188,188,203,187
S7,1,344,282,265,265,266,265,281,257,281,250,281,250,282,282,281,266
S8,1159,15,16,16,16,16,26,15,15,16,24,16,16,16,15,16,16
S9,333,31,16,16,15,16,31,16,16,16,15,16,0,16,15,15,16
S10,9054,2895,2696,2629,2733,2680,2711,2660,2653,2807,2565,2738,2665,2674,2737,2664,2667
S11,3,16,0,16,16,0,16,16,0,0,1,0,15,0,15,0,0
S12,393,766,683,688,698,703,693,703,690,693,719,686,693,703,693,703,696
S13,28,47,48,32,31,31,47,32,31,31,32,31,31,17,31,32,47
S14,1620,2756,2146,2146,2138,2111,2104,2110,2122,2140,2148,2131,2125,2115,2132,2146,2134
C1,1000,1904,2040,1649,1646,2011,2058,1655,2002,1656,1626,2000,2007,1653,2005,2002,1673
C2,4,1058,1048,1072,1031,1074,1050,1024,1079,1066,1044,1034,1052,1109,1033,1061,1070
C3,9,1079,506,521,490,648,506,581,957,499,1181,981,505,502,524,488,492
C4,50,806,1099,656,615,625,640,1126,1277,662,631,646,646,1079,646,663,1578
C6,148,2600,1313,2161,2536,2358,2365,1297,1320,2346,2528,2519,2350,1312,2231,2390,1290
C7,112,125,125,125,93,109,94,125,109,109,109,110,110,125,156,109,125
C8,3073,1177,969,989,969,1054,990,969,974,984,969,975,974,990,989,985,974
C9,100,18279,18164,18050,18191,18757,17973,17823,17877,17744,17892,18006,18040,17974,17823,18096,17956
C10,102,140,125,141,140,125,141,137,125,140,141,141,172,141,125,109,141
