Query,Average,SD,SE
S1,6,4,1
S2,0,0,0
S3,0,0,0
S4,0,0,0
S5,0,0,0
S6,0,0,0
S7,0,0,0
S8,0,0,0
S9,5,1,0
S10,0,0,0
S11,0,0,0
S12,0,0,0
S13,0,0,0
S14,0,0,0
C1,0,0,0
C2,0,0,0
C3,0,0,0
C4,0,1,0
C6,0,0,0
C7,0,0,0
C8,0,0,0
C9,0,0,0
C10,0,0,0
