Query,#Results,Sample #0,Sample #1,Sample #2,Sample #3,Sample #4,Sample #5,Sample #6,Sample #7,Sample #8,Sample #9,Sample #10,Sample #11,Sample #12,Sample #13,Sample #14,Sample #15
S1,90,22,5,5,5,5,5,5,5,5,4,4,4,5,4,4,5
S2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
S3,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
S4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S5,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
S6,11,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
S7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
S8,1159,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
S9,333,6,6,4,5,5,5,5,4,4,5,5,4,5,4,4,4
S10,9054,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0
S11,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
S12,393,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
S13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S14,1620,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
C1,1000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
C3,9,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0
C4,50,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
C6,148,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0
C7,112,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C8,3073,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0
C9,100,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
C10,102,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
