Query,Average,SD,SE
S1,1686,55,14
S2,50,6,2
S3,155,9,2
S4,176,10,3
S5,104,8,2
S6,857,72,18
S7,1004,22,6
S8,80,15,4
S9,787,21,5
S10,6544,558,139
S11,89,18,5
S12,1614,78,20
S13,162,13,3
S14,3542,712,178
C2,1347,100,25
C3,11580,77,19
C4,5695,444,111
C5,9271824,0,0
C6,47185,7128,1782
C7,6114,442,111
C8,2437,257,64
C10,611,34,9
