Query,#Results,Sample #0,Sample #1,Sample #2,Sample #3,Sample #4,Sample #5,Sample #6,Sample #7,Sample #8,Sample #9,Sample #10,Sample #11,Sample #12,Sample #13,Sample #14,Sample #15
S1,90,31,15,0,16,15,16,16,15,0,0,0,0,0,15,15,0
S2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
S3,2,32,15,31,16,31,31,31,16,31,31,15,32,16,32,31,47
S4,1,62,31,31,31,32,31,31,31,31,31,32,32,31,31,31,31
S5,2,31,15,16,16,32,15,16,17,16,15,31,15,17,15,48,15
S6,11,547,484,462,468,469,500,499,469,485,469,484,469,485,465,457,453
S7,1,609,531,550,552,547,547,556,515,546,531,531,533,563,530,530,542
S8,1159,16,16,16,15,16,16,16,16,16,15,15,15,15,16,16,15
S9,333,47,31,32,15,31,31,31,31,46,47,32,31,31,17,31,47
S10,9054,5396,4797,4790,4785,4739,4760,4782,4782,4775,4827,4788,4777,4781,4775,4760,4769
S11,3,0,0,0,15,0,0,0,16,15,0,16,0,0,7,15,0
S12,393,1359,1346,1333,1329,1347,1334,1324,1332,1327,1334,1336,1361,1337,1323,1321,1329
S13,28,96158,94860,94680,94409,94463,94578,94538,94503,94214,94776,94121,93955,94860,93953,93950,94293
S14,1620,2723,2718,2685,2694,2724,2672,2659,2882,2684,2704,2673,2664,2672,2673,2709,2693
C1,1000,3757,3756,3753,3733,3725,3700,3674,3694,3678,3712,3709,3686,3707,3651,3699,3727
C2,4,1187,1178,1157,1370,1339,1177,1184,1297,1172,1179,1172,1164,1198,1172,1177,1159
C3,9,13329,13290,13012,13246,13217,13304,13262,12956,12948,13293,13008,13271,12967,13201,12943,13240
C6,148,24276,24361,24138,24115,24135,24066,23955,24083,24096,24074,24032,24301,24084,24421,24195,24087
C7,112,341,344,349,343,344,328,333,330,344,338,344,328,344,343,343,343
C8,3073,2109,2097,2073,2076,2037,2107,2069,2068,2068,2084,2106,2078,2072,2083,2069,2142
C9,100,17706,17646,17787,17583,17662,17555,17560,17696,17557,17561,18103,17560,17658,17566,17580,17911
C10,102,674,631,653,631,656,625,656,640,656,625,632,641,641,656,641,656
